transaction_id,fraud_vector,actor
0dcbc45a-1008-4a77-a780-9a1a8253a05c,CB-2,3P
e184d785-d35f-40a7-b6e8-4a85cb4b2f24,CB-2,3P
57ceec2e-4092-4465-9533-77c43541fbbb,CB-2,3P
1c39e268-4793-4649-a2ab-33a5042eb230,CB-2,3P
c17003bc-459e-465e-a696-ea7462942d64,CB-2,3P
6de5458e-469d-4a2f-b39b-c91d2f5748e9,CB-2,3P
7179cdb7-65eb-4a49-8f8e-71042b4469c9,CB-2,3P
86d46682-1257-4bb7-89f7-31b109658725,CB-2,3P
5cb4a0a8-1e02-4c8d-9b83-5fa5ddb68825,CB-2,3P
e5008f6a-78a3-4934-a907-cc791e43f0a1,CB-2,3P
176eec37-9d3a-46f5-8d7d-468be8ed5768,CB-2,3P
5f158c41-a383-4138-baec-15741acfe25d,CB-2,3P
d375f19d-0ef5-4c2f-b693-328f5991a4e1,CB-2,3P
070a2acd-571c-49a2-92d8-6fdc970274b9,CB-2,3P
878af6fa-32f7-4179-ad5d-73fca5ec0159,CB-2,3P
ca5f21b1-68ed-4e87-aad0-e0963a35ab34,CB-2,3P
2389bc78-83f6-4cd6-b535-f3a9accee8c5,CB-2,3P
b7be0c0a-778c-4fe3-bce5-3a841ee629ed,CB-2,3P
f4aae0d2-befe-468e-901d-603f1361eb9f,CB-2,3P
d578d52b-540c-4498-88c7-3efeb76a7038,CB-2,3P
1c39f6b9-e5ff-4772-bd0f-29b661fce1ce,CB-2,3P
07d0c895-a4e0-48e9-8e06-e766cbff32cd,CB-2,3P
df7ca185-2698-4ff7-a316-0b925d15cc2f,CB-2,3P
fe0d386f-4370-48e6-aaa5-6fdd5d79835c,CB-2,3P
212b8ca9-0293-4af4-8106-6dafdfcc4ebe,CB-2,3P
6e5d053b-2650-4298-9e04-db67be73ab0a,CB-2,3P
9aa0987a-584a-4dea-af89-1e24e74452a9,CB-2,3P
f2c1fe27-fc9c-4275-a28a-b28757230bce,CB-2,3P
8fb28749-dbc8-4d8d-8a55-f3b8108c837b,CB-2,3P
fee96804-a078-4bb6-88ae-a26aa62169ae,CB-2,3P
ec6ae855-4823-45f3-9eb1-ba0de4556f0f,CB-2,3P
279839fd-97e0-4237-918f-e0db8e7b9f7e,CB-2,3P
118e9f75-31e3-4d97-863e-129bb77d5fe3,CB-2,3P
8a8d563d-dafa-4a6b-a748-0fce3eb1dace,CB-2,3P
832129fe-2d15-462f-b993-bd7a68b39732,CB-2,3P
e51cbae0-def5-4e9b-94bf-1cd68e6a5ff7,CB-2,3P
9b0544f9-7006-4288-a39f-ebff8da5b636,CB-2,3P
bb4511a9-3e87-4a39-bfea-4342025a0132,CB-2,3P
431e709a-8af2-4c2c-9b7d-eb32707a15c2,CB-2,3P
35937cc8-df8c-40ad-b501-b1e3d11e572b,CB-2,3P
6d155623-cee1-4031-a132-afdfa703959f,CB-2,3P
197c8abf-e96d-432c-90eb-2e64cfe0bbc0,CB-2,3P
cfa115eb-55cd-4425-b29b-3bde36a9fcc6,CB-2,3P
8581bab6-8a55-4169-b455-c8cec882925a,CB-2,3P
15891f50-99ba-4ecf-985f-66455e6bf123,CB-2,3P
0ae13f30-2597-458e-85a8-5f4193e158a5,CB-2,3P
6ce65e68-9601-41ed-bb16-f7bf499c75db,CB-2,3P
9e10a8be-1d06-45ac-9b36-62d8daeca18a,CB-2,3P
3bda4ab5-c766-4192-b031-f5dfd6283ce7,CB-2,3P
ea253c55-bb92-44be-aa37-2bd327a1745b,CB-2,3P
b0dae332-b88a-45dc-98d6-288220c9504f,CB-2,3P
58e103cc-b4ab-4be7-b34a-a77faa13eb4d,CB-2,3P
3ab59920-19ea-4e47-9387-79d12c80dc33,CB-2,3P
28756b54-7e52-4aee-92f0-98b806379819,CB-2,3P
e99cc95f-f338-4406-8b3e-c17512760bdb,CB-2,3P
8ac0d0f8-83aa-451c-87a3-bb082980cd05,CB-2,3P
69707ca9-af6f-478c-9a09-fd4861ce6215,CB-2,3P
73c72307-b441-45e5-97f1-8547dacf5cdc,CB-2,3P
2e8a33a0-ed82-4309-88eb-bccad7e46d84,CB-2,3P
8b748236-4078-4e3d-a865-6a52e0c449a4,CB-2,3P
e126d18a-81f5-4558-9cda-b78ec0e1a81c,CB-2,3P
cfa9fd6d-acb4-4697-bdb8-4cc89eca75ee,CB-2,3P
79f9b33d-5664-4c8b-a72e-5d4df2561e81,CB-2,3P
1d687122-2a68-4e3f-aea5-94e6390375b3,CB-2,3P
51b36325-ef63-4d8c-9272-d34962b5823e,CB-2,3P
1ba7a55a-3982-4372-9b0a-8966c0bc84ca,CB-2,3P
9dbd9ddb-bc44-4371-b81a-d3b6bb868d3a,CB-2,3P
c06bf998-44b1-4cb1-98a0-f25363290e14,CB-2,3P
febcc1df-3450-4154-851e-d82832ae57ea,CB-2,3P
631afa16-de7b-4ef3-b557-eb5c8f4c9739,CB-2,3P
8d28eea1-3376-4409-9700-56428c267389,CB-2,3P
61c68797-2787-44a4-b21c-72ac54fd0742,CB-2,3P
a16fb16b-45a1-405c-ac62-79c3fdb03e28,CB-2,3P
7ca8246f-c87f-4e81-93de-28cb4d319eb0,CB-2,3P
52c28a89-6e5b-4f25-a433-371b872d0d75,CB-2,3P
95218914-cb35-47ff-8403-b69edbe8293e,CB-2,3P
1a7d6e34-cfaa-40e6-8864-e6ebd624de66,CB-2,3P
d8e343c5-022f-4ce5-94c1-a3b7cf3537cf,X-1,3P
76a76fb6-8f10-443d-8cbe-b466708c2219,X-1,3P
37886701-17a6-404a-950c-12625b966660,X-1,3P
4129cae9-96cf-4683-8d86-695cd03fe39d,X-1,3P
e6b32193-5688-4cfd-bc79-c8657361ede1,X-1,3P
4c1e2940-305a-4685-9cbc-f4d9d29360e3,X-1,3P
57638ce4-b134-44b3-9532-e754f7819d5a,X-1,3P
01045171-17c3-4b51-a4a3-48e762a7c874,X-1,3P
eb1e731c-43a4-45d7-9b09-bb58b66ce0ed,X-1,3P
d9f562b7-98c4-4e43-a690-58e8aa0bd85c,X-1,3P
4a4817cc-4ebc-4842-bd35-88bd93059266,X-1,3P
